pft,int,R_Koh_ha_yr,R_no_mort_adjust_ha_yr
LD_DI,1,11.451970196486347,10.487903449553402
LD_DI,2,10.480238232051692,8.900888694055269
LD_DI,3,6.075131492284461,5.210399913956693
LD_DI,4,6.082784557636275,5.031987475054914
LD_DI,5,8.871053545590035,7.319540671380662
LD_DI,6,10.36251041169584,8.587324744731037
LD_DI,7,11.016401076886991,9.10811136958736
LD_DT,1,5.075054473996079,4.1262090194895995
LD_DT,2,5.388402152469729,3.881958778742686
LD_DT,3,4.00199778648077,2.862624540147387
LD_DT,4,6.28948481661096,4.034455192855053
LD_DT,5,8.99415989023065,5.473026322426583
LD_DT,6,9.674506897933869,6.009392374119841
LD_DT,7,11.382018255285512,6.612228651542606
ST_DI,1,28.602380718153093,26.960231403356733
ST_DI,2,22.760406705812564,20.694493436307333
ST_DI,3,13.940789410804403,12.829379622459317
ST_DI,4,12.766731760722656,11.649400622352422
ST_DI,5,16.78427374978382,15.235461379237236
ST_DI,6,21.57774895219768,19.414823460306486
ST_DI,7,24.48765719733171,22.076551715387836
ST_DT,1,37.57527706091652,35.07498419953625
ST_DT,2,33.1683224965637,29.36948913170734
ST_DT,3,20.750760093207994,18.541682821591678
ST_DT,4,18.539597248892775,16.17663045628481
ST_DT,5,21.516157645609397,18.86296361671797
ST_DT,6,26.918098357288038,23.35003713896852
ST_DT,7,25.450694198552178,22.218292174029635
