day,pft,date,dbh,N_co,SMP,NPP,FSDS
0,earlydi,2003-01-01T11:30:00Z,200,800,-1076191.8854166667,-1.5509813842072617,17006579.99253273
1,earlydi,2003-01-02T11:30:00Z,200,800,-1073754.0677083333,-1.8675306760997046,19865159.747314453
2,earlydi,2003-01-03T11:30:00Z,200,800,-1070258.0572916667,-1.7806123505579308,14646240.233910084
3,earlydi,2003-01-04T11:30:00Z,200,800,-751361.5706380209,-0.6660033302068769,18422459.879493713
4,earlydi,2003-01-05T11:30:00Z,200,800,-109332.0390625,-0.49821458774204075,19672740.2715683
5,earlydi,2003-01-06T11:30:00Z,200,800,-137483.94303385416,-1.0241398996186035,16429320.074415207
6,earlydi,2003-01-07T11:30:00Z,200,800,-172227.30403645834,-1.428312643429308,19828259.83271599
7,earlydi,2003-01-08T11:30:00Z,200,800,-203076.29817708334,-1.7936551452294225,19300140.208911896
8,earlydi,2003-01-09T11:30:00Z,200,800,-239916.744140625,-2.0072942752449308,19232100.284957886
9,earlydi,2003-01-10T11:30:00Z,200,800,-266129.12109375,-2.0454538258491084,19702260.176467896
10,earlydi,2003-01-11T11:30:00Z,200,800,-281781.05078125,-2.0636773537262343,16331759.84172821
11,earlydi,2003-01-12T11:30:00Z,200,800,-297641.7161458333,-2.117410781647777,17951040.365338326
12,earlydi,2003-01-13T11:30:00Z,200,800,-313391.0768229167,-2.1598434395855293,15248699.589085579
13,earlydi,2003-01-14T11:30:00Z,200,800,-328890.1119791667,-2.142159719369374,18270360.122931004
14,earlydi,2003-01-15T11:30:00Z,200,800,-344069.3489583333,-2.199966175976442,18651599.617892504
15,earlydi,2003-01-16T11:30:00Z,200,800,-358869.8359375,-2.164334856206551,19704239.74328041
16,earlydi,2003-01-17T11:30:00Z,200,800,-373287.9505208333,-2.16402838632348,18673380.129110813
17,earlydi,2003-01-18T11:30:00Z,200,800,-387243.9830729167,-2.1870157950615976,17995499.607539177
18,earlydi,2003-01-19T11:30:00Z,200,800,-400828.0234375,-2.1475449873832986,20284019.93687153
19,earlydi,2003-01-20T11:30:00Z,200,800,-414064.03125,-2.112638820108259,19089900.28216839
