"","pft","R_avg","R_sd","R_avg_ED2","R_sd_ED2","SMP_avg","patch"
"1","LD_DI",0.0190179697704444,0.00300235778524676,0.555228914669016,0.0783886655729519,-27562.3701091753,1
"2","LD_DT",0.0497490368236271,0.00772937092488571,0.718336972382689,0.0770326120164831,-27562.3701091753,1
"3","ST_DI",0.0551050909471617,0.00358007713331498,0.446805293394153,0.0372115100347245,-27562.3701091753,1
"4","ST_DT",0.0980897819596354,0.00466031183961224,0.49703254741349,0.0185133495204263,-27562.3701091753,1
"5","LD_DI",0.0255080750018522,0.0018318180464004,0.555228914669016,0.0783886655729519,-55334.1999410175,2
"6","LD_DT",0.0678165511332438,0.00375203646397203,0.718336972382689,0.0770326120164831,-55207.2194760114,2
"7","ST_DI",0.0658742669663971,0.00338599155513415,0.446805293394153,0.0372115100347245,-55319.3456821455,2
"8","ST_DT",0.118222946459901,0.0039232152822838,0.49703254741349,0.0185133495204263,-55127.6380902487,2
"9","LD_DI",0.0224481250570877,0.00299524579503461,0.555228914669016,0.0783886655729519,-83001.2999115263,3
"10","LD_DT",0.0613792098699231,0.00651358797943968,0.718336972382689,0.0770326120164831,-82810.8292140171,3
"11","ST_DI",0.0578581661989789,0.00366575986067591,0.446805293394153,0.0372115100347245,-82979.0185232183,3
"12","ST_DT",0.101376853255889,0.00670915355774453,0.49703254741349,0.0185133495204263,-82691.457135373,3
"13","LD_DI",0.0179746305801039,0.00554654241373452,0.555228914669016,0.0783886655729519,-110668.399882035,4
"14","LD_DT",0.0486254093569767,0.015204346689588,0.718336972382689,0.0770326120164831,-110414.438952023,4
"15","ST_DI",0.0374457225966139,0.0062547118759273,0.446805293394153,0.0372115100347245,-110638.691364291,4
"16","ST_DT",0.0677123642507776,0.00915187449249713,0.49703254741349,0.0185133495204263,-110255.276180497,4
"17","LD_DI",0.0118821299789193,0.00613908582721017,0.555228914669016,0.0783886655729519,-138335.499852544,5
"18","LD_DT",0.0318524192554989,0.0156874785098189,0.718336972382689,0.0770326120164831,-138018.048690029,5
"19","ST_DI",0.0168124454752943,0.00486620350202701,0.446805293394153,0.0372115100347245,-138298.364205364,5
"20","ST_DT",0.0358785290849865,0.00923399506631001,0.49703254741349,0.0185133495204263,-137819.095225622,5
"21","LD_DI",0.00585026311702153,0.00654861990806492,0.555228914669016,0.0783886655729519,-166002.599823053,6
"22","LD_DT",0.0169741156384672,0.0177672389738964,0.718336972382689,0.0770326120164831,-165621.658428034,6
"23","ST_DI",0.00563961957430215,0.00455939925314807,0.446805293394153,0.0372115100347245,-165958.037046437,6
"24","ST_DT",0.0142855928005777,0.0105265515152276,0.49703254741349,0.0185133495204263,-165382.914270746,6
"25","LD_DI",0.00277759031138562,0.00421430764400674,0.555228914669016,0.0783886655729519,-193669.699793561,7
"26","LD_DT",0.00879536943886223,0.0120442443340382,0.718336972382689,0.0770326120164831,-193225.26816604,7
"27","ST_DI",0.00199782557228039,0.00208890981590103,0.446805293394153,0.0372115100347245,-193617.709887509,7
"28","ST_DT",0.00555423680246159,0.0046858205614784,0.49703254741349,0.0185133495204263,-192946.73331587,7
"29","LD_DI",0.000119383434253483,0.000197961372895518,0.555228914669016,0.0783886655729519,-221336.79976407,8
"30","LD_DT",0.000368266415329999,0.00059030412468209,0.718336972382689,0.0770326120164831,-220828.877904046,8
"31","ST_DI",0.000155024266222986,0.00025527067810919,0.446805293394153,0.0372115100347245,-221277.382728582,8
"32","ST_DT",0.000398860802973994,0.000609799805694497,0.49703254741349,0.0185133495204263,-220510.552360995,8
"33","LD_DI",3.01231410519103e-05,7.17252455559656e-05,0.555228914669016,0.0783886655729519,-249003.899734579,9
"34","LD_DT",0.000108639901749016,0.000257767523286749,0.718336972382689,0.0770326120164831,-248432.487642051,9
"35","ST_DI",3.79233158293339e-05,9.25734162283908e-05,0.446805293394153,0.0372115100347245,-248937.055569655,9
"36","ST_DT",0.000107494016677105,0.000253942579444598,0.49703254741349,0.0185133495204263,-248074.371406119,9
"37","LD_DI",2.43003518671581e-05,5.78691826580016e-05,0.555228914669016,0.0783886655729519,-276670.999705088,10
"38","LD_DT",9.02816607305715e-05,0.000214370569394329,0.718336972382689,0.0770326120164831,-276036.097380057,10
"39","ST_DI",2.81142732973725e-05,6.84351333850875e-05,0.446805293394153,0.0372115100347245,-276596.728410728,10
"40","ST_DT",8.06268457155367e-05,0.000192639644003712,0.49703254741349,0.0185133495204263,-275638.190451243,10
"41","LD_DI",0,0,0.555228914669016,0.0783886655729519,-304338.099675596,11
"42","LD_DT",0,0,0.718336972382689,0.0770326120164831,-303639.707118063,11
"43","ST_DI",0,0,0.446805293394153,0.0372115100347245,-304256.4012518,11
"44","ST_DT",0,0,0.49703254741349,0.0185133495204263,-303202.009496368,11
"45","LD_DI",0,0,0.555228914669016,0.0783886655729519,-332005.199646105,12
"46","LD_DT",0,0,0.718336972382689,0.0770326120164831,-331243.316856069,12
"47","ST_DI",0,0,0.446805293394153,0.0372115100347245,-331916.074092873,12
"48","ST_DT",0,0,0.49703254741349,0.0185133495204263,-330765.828541492,12
"49","LD_DI",0,0,0.555228914669016,0.0783886655729519,-359672.299616614,13
"50","LD_DT",0,0,0.718336972382689,0.0770326120164831,-358846.926594074,13
"51","ST_DI",0,0,0.446805293394153,0.0372115100347245,-359575.746933946,13
"52","ST_DT",0,0,0.49703254741349,0.0185133495204263,-358329.647586616,13
"53","LD_DI",0,0,0.555228914669016,0.0783886655729519,-387339.399587123,14
"54","LD_DT",0,0,0.718336972382689,0.0770326120164831,-386450.53633208,14
"55","ST_DI",0,0,0.446805293394153,0.0372115100347245,-387235.419775019,14
"56","ST_DT",0,0,0.49703254741349,0.0185133495204263,-385893.466631741,14
"57","LD_DI",0,0,0.555228914669016,0.0783886655729519,-415006.499557632,15
"58","LD_DT",0,0,0.718336972382689,0.0770326120164831,-414054.146070086,15
"59","ST_DI",0,0,0.446805293394153,0.0372115100347245,-414895.092616091,15
"60","ST_DT",0,0,0.49703254741349,0.0185133495204263,-413457.285676865,15
"61","LD_DI",0,0,0.555228914669016,0.0783886655729519,-442673.59952814,16
"62","LD_DT",0,0,0.718336972382689,0.0770326120164831,-441657.755808091,16
"63","ST_DI",0,0,0.446805293394153,0.0372115100347245,-442554.765457164,16
"64","ST_DT",0,0,0.49703254741349,0.0185133495204263,-441021.104721989,16
"65","LD_DI",0,0,0.555228914669016,0.0783886655729519,-470340.699498649,17
"66","LD_DT",0,0,0.718336972382689,0.0770326120164831,-469261.365546097,17
"67","ST_DI",0,0,0.446805293394153,0.0372115100347245,-470214.438298237,17
"68","ST_DT",0,0,0.49703254741349,0.0185133495204263,-468584.923767114,17
"69","LD_DI",0,0,0.555228914669016,0.0783886655729519,-498007.799469158,18
"70","LD_DT",0,0,0.718336972382689,0.0770326120164831,-496864.975284103,18
"71","ST_DI",0,0,0.446805293394153,0.0372115100347245,-497874.11113931,18
"72","ST_DT",0,0,0.49703254741349,0.0185133495204263,-496148.742812238,18
"73","LD_DI",0,0,0.555228914669016,0.0783886655729519,-525674.899439667,19
"74","LD_DT",0,0,0.718336972382689,0.0770326120164831,-524468.585022109,19
"75","ST_DI",0,0,0.446805293394153,0.0372115100347245,-525533.783980382,19
"76","ST_DT",0,0,0.49703254741349,0.0185133495204263,-523712.561857362,19
"77","LD_DI",0,0,0.555228914669016,0.0783886655729519,-553341.999410175,20
"78","LD_DT",0,0,0.718336972382689,0.0770326120164831,-552072.194760114,20
"79","ST_DI",0,0,0.446805293394153,0.0372115100347245,-553193.456821455,20
"80","ST_DT",0,0,0.49703254741349,0.0185133495204263,-551276.380902487,20
